序号,书名,时代,字符数,系统,词项,变体,独立Raw次数,最长优先次数,每百万字
01,史记,两汉史书层,640501,蛇—ta系统,他,他,144,144,224.82400495861833
01,史记,两汉史书层,640501,蛇—ta系统,她,她,0,0,0.0
01,史记,两汉史书层,640501,蛇—ta系统,它,它,4,4,6.245111248850509
01,史记,两汉史书层,640501,蛇—ta系统,蛇,蛇 / 虵,30,30,46.83833436637882
01,史记,两汉史书层,640501,蛇—ta系统,也,也,4545,4545,7096.007656506392
01,史记,两汉史书层,640501,蛇—ta系统,佗,佗,54,54,84.30900185948187
01,史记,两汉史书层,640501,蛇—ta系统,牠,牠,0,0,0.0
01,史记,两汉史书层,640501,蛇—ta系统,姐姊,姐 / 姊,57,57,88.99283529611975
01,史记,两汉史书层,640501,蛇—ta系统,巳,巳,29,29,45.27705655416619
01,史记,两汉史书层,640501,蛇—ta系统,虺,虺,0,0,0.0
01,史记,两汉史书层,640501,蛇—ta系统,螣蛇,螣蛇 / 腾蛇 / 騰蛇,1,1,1.5612778122126272
01,史记,两汉史书层,640501,蛇—ta系统,巴蛇,巴蛇,0,0,0.0
01,史记,两汉史书层,640501,蛇—ta系统,化蛇,化蛇,0,0,0.0
01,史记,两汉史书层,640501,蛇—ta系统,鸣蛇,鸣蛇 / 鳴蛇,0,0,0.0
01,史记,两汉史书层,640501,娲—娃—蛙系统,娲,娲 / 媧,1,1,1.5612778122126272
01,史记,两汉史书层,640501,娲—娃—蛙系统,女娲,女娲 / 女媧,0,0,0.0
01,史记,两汉史书层,640501,娲—娃—蛙系统,娃,娃,4,4,6.245111248850509
01,史记,两汉史书层,640501,娲—娃—蛙系统,女娃,女娃,1,1,1.5612778122126272
01,史记,两汉史书层,640501,娲—娃—蛙系统,蛙,蛙,0,0,0.0
01,史记,两汉史书层,640501,娲—娃—蛙系统,青蛙,青蛙,0,0,0.0
01,史记,两汉史书层,640501,娲—娃—蛙系统,黾,黾 / 黽,3,3,4.683833436637881
01,史记,两汉史书层,640501,娲—娃—蛙系统,精卫,精卫 / 精衛,0,0,0.0
01,史记,两汉史书层,640501,鸟—凤—风系统,鸟,鸟 / 鳥,82,82,128.02478060143542
01,史记,两汉史书层,640501,鸟—凤—风系统,凤,凤 / 鳳,20,20,31.225556244252548
01,史记,两汉史书层,640501,鸟—凤—风系统,凤凰,凤凰 / 鳳凰 / 凤皇 / 鳳皇,11,11,17.1740559343389
01,史记,两汉史书层,640501,鸟—凤—风系统,玄鸟,玄鸟 / 玄鳥,3,3,4.683833436637881
01,史记,两汉史书层,640501,鸟—凤—风系统,朱鸟朱雀,朱鸟 / 朱鳥 / 朱雀,1,1,1.5612778122126272
01,史记,两汉史书层,640501,鸟—凤—风系统,精卫,精卫 / 精衛,0,0,0.0
01,史记,两汉史书层,640501,鸟—凤—风系统,风,风 / 風,205,205,320.0619515035886
01,史记,两汉史书层,640501,鸟—凤—风系统,皇,皇,491,491,766.5874057963999
02,汉书,两汉史书层,937972,蛇—ta系统,他,他,52,52,55.438755101431596
02,汉书,两汉史书层,937972,蛇—ta系统,她,她,0,0,0.0
02,汉书,两汉史书层,937972,蛇—ta系统,它,它,147,147,156.72109615212395
02,汉书,两汉史书层,937972,蛇—ta系统,蛇,蛇 / 虵,55,55,58.63714481882189
02,汉书,两汉史书层,937972,蛇—ta系统,也,也,5603,5603,5973.525862179255
02,汉书,两汉史书层,937972,蛇—ta系统,佗,佗,55,55,58.63714481882189
02,汉书,两汉史书层,937972,蛇—ta系统,牠,牠,0,0,0.0
02,汉书,两汉史书层,937972,蛇—ta系统,姐姊,姐 / 姊,91,91,97.0178214275053
02,汉书,两汉史书层,937972,蛇—ta系统,巳,巳,74,74,78.89361302896035
02,汉书,两汉史书层,937972,蛇—ta系统,虺,虺,3,3,3.198389717390284
02,汉书,两汉史书层,937972,蛇—ta系统,螣蛇,螣蛇 / 腾蛇 / 騰蛇,0,0,0.0
02,汉书,两汉史书层,937972,蛇—ta系统,巴蛇,巴蛇,0,0,0.0
02,汉书,两汉史书层,937972,蛇—ta系统,化蛇,化蛇,0,0,0.0
02,汉书,两汉史书层,937972,蛇—ta系统,鸣蛇,鸣蛇 / 鳴蛇,0,0,0.0
02,汉书,两汉史书层,937972,娲—娃—蛙系统,娲,娲 / 媧,1,1,1.0661299057967615
