时代,字符数,系统,词项,次数,每百万字
两汉史书层,2461994,蛇—ta系统,他,229,93.01403658985359
两汉史书层,2461994,蛇—ta系统,她,0,0.0
两汉史书层,2461994,蛇—ta系统,它,243,98.70048424163502
两汉史书层,2461994,蛇—ta系统,蛇,135,54.833602356463906
两汉史书层,2461994,蛇—ta系统,也,13315,5408.2178916764215
两汉史书层,2461994,蛇—ta系统,佗,167,67.8311969891072
两汉史书层,2461994,蛇—ta系统,牠,0,0.0
两汉史书层,2461994,蛇—ta系统,姐姊,202,82.0473161185608
两汉史书层,2461994,蛇—ta系统,巳,271,110.07337954519791
两汉史书层,2461994,蛇—ta系统,虺,9,3.655573490430927
两汉史书层,2461994,蛇—ta系统,螣蛇,3,1.218524496810309
两汉史书层,2461994,蛇—ta系统,巴蛇,0,0.0
两汉史书层,2461994,蛇—ta系统,化蛇,0,0.0
两汉史书层,2461994,蛇—ta系统,鸣蛇,0,0.0
两汉史书层,2461994,娲—娃—蛙系统,娲,2,0.8123496645402061
两汉史书层,2461994,娲—娃—蛙系统,女娲,0,0.0
两汉史书层,2461994,娲—娃—蛙系统,娃,5,2.030874161350515
两汉史书层,2461994,娲—娃—蛙系统,女娃,1,0.40617483227010304
两汉史书层,2461994,娲—娃—蛙系统,蛙,9,3.655573490430927
两汉史书层,2461994,娲—娃—蛙系统,青蛙,0,0.0
两汉史书层,2461994,娲—娃—蛙系统,黾,26,10.560545639022678
两汉史书层,2461994,娲—娃—蛙系统,精卫,0,0.0
两汉史书层,2461994,鸟—凤—风系统,鸟,297,120.6339251842206
两汉史书层,2461994,鸟—凤—风系统,凤,422,171.40577921798348
两汉史书层,2461994,鸟—凤—风系统,凤凰,68,27.619888594367005
两汉史书层,2461994,鸟—凤—风系统,玄鸟,4,1.6246993290804121
两汉史书层,2461994,鸟—凤—风系统,朱鸟朱雀,12,4.874097987241236
两汉史书层,2461994,鸟—凤—风系统,精卫,0,0.0
两汉史书层,2461994,鸟—凤—风系统,风,1330,540.212526919237
两汉史书层,2461994,鸟—凤—风系统,皇,2986,1212.8380491585276
魏晋南北朝,8393485,蛇—ta系统,他,897,106.86860106380126
魏晋南北朝,8393485,蛇—ta系统,她,0,0.0
魏晋南北朝,8393485,蛇—ta系统,它,32,3.8124807514399564
魏晋南北朝,8393485,蛇—ta系统,蛇,353,42.056428289322014
魏晋南北朝,8393485,蛇—ta系统,也,30165,3593.858808349571
魏晋南北朝,8393485,蛇—ta系统,佗,164,19.538963851129775
魏晋南北朝,8393485,蛇—ta系统,牠,0,0.0
魏晋南北朝,8393485,蛇—ta系统,姐姊,383,45.630628993796975
魏晋南北朝,8393485,蛇—ta系统,巳,1782,212.30752184581257
魏晋南北朝,8393485,蛇—ta系统,虺,21,2.501940493132471
魏晋南北朝,8393485,蛇—ta系统,螣蛇,16,1.9062403757199782
魏晋南北朝,8393485,蛇—ta系统,巴蛇,0,0.0
魏晋南北朝,8393485,蛇—ta系统,化蛇,0,0.0
魏晋南北朝,8393485,蛇—ta系统,鸣蛇,0,0.0
魏晋南北朝,8393485,娲—娃—蛙系统,娲,9,1.0722602113424877
魏晋南北朝,8393485,娲—娃—蛙系统,女娲,8,0.9531201878599891
