系统,词项,变体,次数,总字符数,每百万字
蛇—ta系统,他,他,6181,36871517,167.63617292990685
蛇—ta系统,她,她,1,36871517,0.02712120578060295
蛇—ta系统,它,它,924,36871517,25.059994141277127
蛇—ta系统,蛇,蛇 / 虵,1165,36871517,31.596204734402438
蛇—ta系统,也,也,95534,36871517,2590.9972730441223
蛇—ta系统,佗,佗,476,36871517,12.909693951567005
蛇—ta系统,牠,牠,0,36871517,0.0
蛇—ta系统,姐姊,姐 / 姊,1035,36871517,28.070447982924055
蛇—ta系统,巳,巳,11913,36871517,323.09492446432296
蛇—ta系统,虺,虺,96,36871517,2.6036357549378835
蛇—ta系统,螣蛇,螣蛇 / 腾蛇 / 騰蛇,108,36871517,2.929090224305119
蛇—ta系统,巴蛇,巴蛇,0,36871517,0.0
蛇—ta系统,化蛇,化蛇,0,36871517,0.0
蛇—ta系统,鸣蛇,鸣蛇 / 鳴蛇,0,36871517,0.0
娲—娃—蛙系统,娲,娲 / 媧,49,36871517,1.3289390832495447
娲—娃—蛙系统,女娲,女娲 / 女媧,29,36871517,0.7865149676374855
娲—娃—蛙系统,娃,娃,39,36871517,1.0577270254435152
娲—娃—蛙系统,女娃,女娃,1,36871517,0.02712120578060295
娲—娃—蛙系统,蛙,蛙,54,36871517,1.4645451121525594
娲—娃—蛙系统,青蛙,青蛙,1,36871517,0.02712120578060295
娲—娃—蛙系统,黾,黾 / 黽,98,36871517,2.6578781664990894
娲—娃—蛙系统,精卫,精卫 / 精衛,1,36871517,0.02712120578060295
鸟—凤—风系统,鸟,鸟 / 鳥,2022,36871517,54.83907808837917
鸟—凤—风系统,凤,凤 / 鳳,8405,36871517,227.9537345859678
鸟—凤—风系统,凤凰,凤凰 / 鳳凰 / 凤皇 / 鳳皇,579,36871517,15.703178146969108
鸟—凤—风系统,玄鸟,玄鸟 / 玄鳥,42,36871517,1.139090642785324
鸟—凤—风系统,朱鸟朱雀,朱鸟 / 朱鳥 / 朱雀,270,36871517,7.322725560762797
鸟—凤—风系统,精卫,精卫 / 精衛,1,36871517,0.02712120578060295
鸟—凤—风系统,风,风 / 風,16998,36871517,461.006255858689
鸟—凤—风系统,皇,皇,45112,36871517,1223.4918351745603
