corpus_id,source_file,bytes,units,chars,entity_occurrences
GCI-HOLD-0003,01史记.txt,1876254,4936,615706,427
GCI-HOLD-0003,02汉书.txt,2750460,6814,903788,733
GCI-HOLD-0003,03后汉书.txt,2564644,8930,838747,335
GCI-HOLD-0003,04三国志.txt,2542364,2187,843330,154
GCI-HOLD-0003,05晋书.txt,4265313,8826,1409549,296
GCI-HOLD-0003,06宋书.txt,3008514,7316,991600,228
GCI-HOLD-0003,07南齐书.txt,1116834,3608,366938,53
GCI-HOLD-0003,08梁书.txt,1087275,1790,359182,49
GCI-HOLD-0003,09陈书.txt,598415,988,197718,20
GCI-HOLD-0003,10魏书.txt,3716909,11335,1224497,256
GCI-HOLD-0003,11北齐书.txt,779030,1158,257737,17
GCI-HOLD-0003,12周书.txt,964508,1903,318070,26
GCI-HOLD-0003,13隋书.txt,2651646,8156,868481,297
GCI-HOLD-0003,14北史.txt,4078104,7117,1346634,96
GCI-HOLD-0003,15南史.txt,2494030,4612,823236,32
GCI-HOLD-0003,16旧唐书.txt,7299286,17160,2404415,363
GCI-HOLD-0003,17新唐书.txt,6163442,18009,2020480,397
GCI-HOLD-0003,18旧五代史.txt,2473027,3085,819630,57
GCI-HOLD-0003,19新五代史.txt,1066627,2400,352291,21
GCI-HOLD-0003,20宋史.txt,14552016,47035,4766244,1037
GCI-HOLD-0003,21辽史.txt,1041742,4343,339006,34
GCI-HOLD-0003,22金史.txt,3380472,7345,1113388,96
GCI-HOLD-0003,23元史.txt,5692124,13163,1873713,309
GCI-HOLD-0003,24明史.txt,10052774,24189,3312986,485
GCI-HOLD-0003,史记freq.txt,79074,9784,38634,6
GCI-HOLD-0003,附25新元史.txt,5994888,20407,1925118,244
GCI-HOLD-0003,附26清史稿.txt,15830898,35564,5213485,407
