corpus_id,source_file,term,file_total_count,row_no,context
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,炎帝,93,1485,满室香，便酌湖下金沙水(22)。骤雨松风入鼎来，白云满碗花徘徊。悠杨喷鼻宿醒(23)散，清峭(24)彻骨(25)烦襟开。阳崖阴岭各殊气，未若竹下莓苔(26)地。炎帝(27)虽尝未辨煎，桐君有录(28)那知味。新芽连拳半未舒，自摘至煎俄项余。木兰沾露香微似，瑶草(29)临波色不如。僧言灵味宜幽寂，采采翘英(30)为嘉客。不辞
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,炎帝,93,1666,"四国命以侯伯赐姓日姜,氏日有吕：其能为禹股肱心臀，以养物丰民人也。有夏衰杞部在。申吕衰,齐许在。语则说姜姓与姬姓同源于一租说道：· 　　昔少典氏取于有蟠氏生黄帝炎帝黄帝以姬水成，炎帝以姜水成成而翼德故黄帝姬,炎帝篇姜。 　　姜，伯夷之后也。这粉歧的傅乃是由各种不同的故事凑出来的。史上姜姓舆姬姓一同由西北向东南发展。雨姓始世"
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,炎帝,93,2926,"段的大学生群体极易受到影响，“拜金主义”、“享乐主义”在学生群体中产生了较大影响。“非遗”文化中包含的朴素价值观念正是解决这一境况的一剂良方，例如民间文学中的“炎帝神农”传说，表达了先民路蓝缕开拓美好生活的奋斗精神，对于学生群体的价值观念可以起到良好的导向作用。其次，“引领力""体现在对个体行为的规范。在""非遗""文化中，家风"
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,炎帝,93,3087,"炎臭”出自《广弘明集》卷五引沈约《均圣论》，大正藏本作“炎昊”，对应经文为：“炎昊之世，未火未粒，肉食皮衣，仁侧之事，弗萌怀抱。”（t52p121c)“炎昊""即炎帝神农氏和太昊伏羲氏，二人皆是传说中的古代部落首领，炎昊之世即指上古之世。此句大意为，上古时代，由于人们不会用火，也不会耕作，于是茹毛饮血，以兽皮为衣，因此也就谈"
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,炎帝,93,4551,仇。 (九) 　　（五）佛家谓高积土石、埋藏遗骨者为塔。念，纪念也。《史记·秦始皇纪》：“海中有三神山，蓬莱、方丈、瀛洲。”此以瀛洲代日本。 　　（六）古传说，炎帝之少女女娃，游于东海，溺而不返，化为鸟，名曰精卫，常衔西山之木石以埋于东海（见《山海经·北山经·北次山经》）。精禽，精卫也。精卫生前对东海失其警惕，不虞其溺，既
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,赤帝,7,994,图书集成》的，用黑瓦，取克火之意，因黑从水。五神即东方青龙、西方白虎、南方朱雀、北方玄武、中间勾陈或腾蛇。《周礼·天官·大宰》中说的是五帝：东方青帝灵威仰，南方赤帝赤怒，中央黄帝含枢纽，西方白帝白招拒，北方黑帝叶光纪。五帝也就是五神。 　　在人体方面，五行的体现也是多种情况，按照木、火、土、金、水的排列顺序，作为五脏来说，
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,赤帝,7,1666,",度四方故熊熊貔疆虎以与炎帝于坂泉之野，三然后得其志。这是尤与黄帝作及二帝用师以相济雨神话混淆而成的。周书之怡舆这相反。周书： 　　昔天之初口作二后乃建设典命。赤帝分正二卿命量尤于宇少昊以四方司口口上天莫成之魔。童尤乃逐帝争于涿鹿之河,九隅无遣，赤帝大。乃于黄帝，执蜜尤毅之于中冀。 　　赵简子疾五日不知人。大夫皆。医扁鹊视"
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,赤帝,7,3301,人民群众也会以“夫子之道，反治其身”的。农民就用朴素的宗教思想来反抗统治者。因之，张角所领导的黄中军也利用汉代方士，五行相克，五德终始的思想。本来在汉代就流传着赤帝子当兴(指刘邦)，白帝子当死(指项羽)，来维护汉家王朝统治的传说。如汉顺帝时农民领袖马勉称黄帝，华孟称黑带，来打乱了五德相终始的谬论，因而黄巾军提出了：“苍天已
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,赤帝,7,8118,"房中乐》。'今考之《汉志》《安世房中歌》十七章、《郊祀歌》十九章。《索隐娱。"" 　　其二，重视对史书义例的考证。如《困学纪闻卷12《考史》《通鉴》不书符瑞，高帝赤帝子之事，失于删削，《纲目》因之。是对宋司马光《资治通鉴波朱熹《通鉴纲自二书义例的考证。又如，本卷：《梁书·刘之传》云：""古本《汉书》《外戚》次《帝纪下，《诸王恶"
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,赤帝,7,8315,彭城之门无所惭德。以十四年五月十五日安”神于万年县龙首原刘村，礼也。蟾文非崔蔡，学谢班杨，秉笔抒辞，有面目。乃为铭曰：” 　　大彭故墟，小沛遐裔。烈烈朱旗，洗洗赤帝。贞义家袭，仁勇代继。河竭益昌，山平不昔。”厥有将军，玉洁兰熏。纬之以武，经之以文。翻翔丹陛，颌顽青云。逾四十载，一心事君。”善守其道，能洁其已。物不可点，妮不
GCI-HOLD-0001,literature_zh-00233-of-00233.parquet,黄帝,211,483,，知行合一。学习经典医籍是系统、全面掌握中医理论的必然要求，是掌握中医理论体系和中医思维特点的最直接、最有效的方法。学习中医四大经典坚定高职学生中医思维，比如《黄帝内经》、《伤寒杂病论》《温病学》等书籍的学习加深对整体观念、辨证论治、现象和本质、推演、络绎的理解。著名的中医学家王永炎曾说：“中医的生命力在于疗效”，高职院校
