alias,file,precision_class,raw_rows,research_rows,hard_false_positive_rows,canonical_entities,entity_types
九黎,by_alias/九黎.parquet,HIGH,55129,55129,0,九黎,POLITY/HOUSE
共工,by_alias/共工.parquet,LOW,212112,125447,86665,共工,HOLDER/HOUSE/TITLE
共工氏,by_alias/共工氏.parquet,HIGH,18490,18490,0,共工,HOUSE/POLITY
句龙,by_alias/句龙.parquet,HIGH,6180,6180,0,句龙,HOLDER/OFFICE
后土,by_alias/后土.parquet,MEDIUM,170680,170680,0,后土,OFFICE/DEITY/HOLDER
太昊,by_alias/太昊.parquet,HIGH,57364,57364,0,太昊,HOLDER/HOUSE
太皞,by_alias/太皞.parquet,HIGH,3252,3252,0,太昊,ORTHOGRAPHIC_ALIAS
女娃,by_alias/女娃.parquet,LOW,85125,85125,0,女娃,PERSON/DEITY?
女娲,by_alias/女娲.parquet,HIGH,426757,426757,0,女娲,DEITY/HOLDER
少昊,by_alias/少昊.parquet,HIGH,73575,73575,0,少昊,HOLDER/HOUSE
少皞,by_alias/少皞.parquet,HIGH,5272,5272,0,少昊,ORTHOGRAPHIC_ALIAS
帝江,by_alias/帝江.parquet,HIGH,16311,16311,0,帝江,DEITY/ENTITY
帝鸿,by_alias/帝鸿.parquet,HIGH,7957,7957,0,帝鸿,HOLDER/HOUSE
帝鸿氏,by_alias/帝鸿氏.parquet,HIGH,2242,2242,0,帝鸿,HOUSE
应龙,by_alias/应龙.parquet,HIGH,139997,139997,0,应龙,DEITY/HOLDER?
有熊氏,by_alias/有熊氏.parquet,HIGH,8653,8653,0,黄帝,POLITY/HOUSE
榆罔,by_alias/榆罔.parquet,HIGH,6178,6178,0,榆罔,HOLDER
涿鹿,by_alias/涿鹿.parquet,MEDIUM,111407,111407,0,涿鹿,PLACE
炎帝,by_alias/炎帝.parquet,HIGH,304050,304050,0,炎帝,FOUNDER/HOUSE/TITLE
神农,by_alias/神农.parquet,MEDIUM,622952,622952,0,神农,HOLDER/HOUSE/TITLE
禹,by_alias/禹.parquet,LOW,3585562,3585562,0,禹,HOLDER
精卫,by_alias/精卫.parquet,MEDIUM,276745,276745,0,精卫,DEITY/BIRD
缙云氏,by_alias/缙云氏.parquet,HIGH,4301,4301,0,缙云,POLITY/OFFICE/HOUSE
蚩尤,by_alias/蚩尤.parquet,HIGH,199119,199119,0,蚩尤,POLITICAL_LABEL/HOLDER?
赤帝,by_alias/赤帝.parquet,HIGH,27215,27215,0,炎帝,POSSIBLE_ALIAS/OFFICE
轩辕,by_alias/轩辕.parquet,MEDIUM,637840,637840,0,黄帝,HOLDER/NAME
轩辕氏,by_alias/轩辕氏.parquet,HIGH,20539,20539,0,黄帝,HOUSE/ALIAS
阪泉,by_alias/阪泉.parquet,HIGH,18424,18424,0,阪泉,PLACE/POLITY
雨师,by_alias/雨师.parquet,MEDIUM,38368,38368,0,雨师,OFFICE/DEITY
颛顼,by_alias/颛顼.parquet,HIGH,96640,96640,0,颛顼,HOLDER/HOUSE
风伯,by_alias/风伯.parquet,MEDIUM,24749,24749,0,风伯,OFFICE/DEITY
鲧,by_alias/鲧.parquet,MEDIUM,57157,57157,0,鲧,HOLDER
黄帝,by_alias/黄帝.parquet,MEDIUM,1304094,1304094,0,黄帝,FOUNDER/HOUSE/OFFICE
黄帝氏,by_alias/黄帝氏.parquet,HIGH,3594,3594,0,黄帝,HOUSE/POLITY
