corpus_id,alias,raw_count
GCI-HOLD-0001,九黎,17026
GCI-HOLD-0001,共工,107892
GCI-HOLD-0001,共工氏,7966
GCI-HOLD-0001,句龙,3750
GCI-HOLD-0001,后土,91518
GCI-HOLD-0001,太昊,30815
GCI-HOLD-0001,太皞,495
GCI-HOLD-0001,女娃,27467
GCI-HOLD-0001,女娲,175415
GCI-HOLD-0001,少昊,33349
GCI-HOLD-0001,少皞,1068
GCI-HOLD-0001,帝江,4584
GCI-HOLD-0001,帝鸿,4280
GCI-HOLD-0001,帝鸿氏,958
GCI-HOLD-0001,应龙,65213
GCI-HOLD-0001,有熊氏,3077
GCI-HOLD-0001,榆罔,2152
GCI-HOLD-0001,涿鹿,64506
GCI-HOLD-0001,炎帝,133876
GCI-HOLD-0001,神农,218323
GCI-HOLD-0001,禹,2035634
GCI-HOLD-0001,精卫,147133
GCI-HOLD-0001,缙云氏,1775
GCI-HOLD-0001,蚩尤,28354
GCI-HOLD-0001,赤帝,14569
GCI-HOLD-0001,轩辕,156610
GCI-HOLD-0001,轩辕氏,6375
GCI-HOLD-0001,阪泉,8573
GCI-HOLD-0001,雨师,19243
GCI-HOLD-0001,颛顼,8574
GCI-HOLD-0001,风伯,11162
GCI-HOLD-0001,鲧,6891
GCI-HOLD-0001,黄帝,525915
GCI-HOLD-0001,黄帝氏,2410
GCI-HOLD-0002,九黎,38103
GCI-HOLD-0002,共工,104220
GCI-HOLD-0002,共工氏,10524
GCI-HOLD-0002,句龙,2430
GCI-HOLD-0002,后土,79162
GCI-HOLD-0002,太昊,26549
GCI-HOLD-0002,太皞,2757
GCI-HOLD-0002,女娃,57658
GCI-HOLD-0002,女娲,251342
GCI-HOLD-0002,少昊,40226
GCI-HOLD-0002,少皞,4204
GCI-HOLD-0002,帝江,11727
GCI-HOLD-0002,帝鸿,3677
GCI-HOLD-0002,帝鸿氏,1284
GCI-HOLD-0002,应龙,74784
GCI-HOLD-0002,有熊氏,5576
GCI-HOLD-0002,榆罔,4026
GCI-HOLD-0002,涿鹿,46901
GCI-HOLD-0002,炎帝,170174
GCI-HOLD-0002,神农,404629
GCI-HOLD-0002,禹,1549928
GCI-HOLD-0002,精卫,129612
GCI-HOLD-0002,缙云氏,2526
GCI-HOLD-0002,蚩尤,170765
GCI-HOLD-0002,赤帝,12646
GCI-HOLD-0002,轩辕,481230
GCI-HOLD-0002,轩辕氏,14164
GCI-HOLD-0002,阪泉,9851
GCI-HOLD-0002,雨师,19125
GCI-HOLD-0002,颛顼,88066
GCI-HOLD-0002,风伯,13587
GCI-HOLD-0002,鲧,50266
GCI-HOLD-0002,黄帝,778179
GCI-HOLD-0002,黄帝氏,1184
